BN,FPE,Form ID,200,210,220,230,240,250,260
119215655RR0001,2021-04-30,25,148659,Y,N,,N,Y,N
846320497RR0001,2021-02-28,25,30000,Y,N,,N,N,N
886114792RR0001,2021-02-28,25,31620,N,N,,N,Y,N
821780129RR0001,2021-05-31,25,9294,N,N,,N,Y,
131634396RR0001,2021-02-28,25,324308,Y,N,,N,Y,N
827292921RR0001,2021-06-30,25,3900000,Y,N,,N,N,N
869647347RR0001,2021-07-31,25,56453,Y,N,,N,Y,N
771275484RR0001,2021-02-28,25,196409,Y,N,,N,Y,N
864916879RR0001,2021-03-31,24,,,N,,N,N,N
786830497RR0001,2021-06-30,25,36347,N,N,,N,Y,N
118813161RR0001,2021-02-28,25,2480,N,N,,N,Y,N
887910065RR0001,2021-02-28,25,,,N,,N,N,N
132146549RR0001,2021-03-31,25,51815,Y,N,,N,Y,N
107511586RR0001,2021-03-31,25,131203605,Y,Y,8974785,Y,N,N
107785677RR0001,2021-03-31,25,158901,Y,N,,N,N,N
705380889RR0001,2021-03-31,25,14700,N,N,,N,N,Y
855485793RR0001,2021-04-30,25,1800,Y,N,,N,N,N
119288934RR0001,2021-03-31,25,1948796,Y,Y,1864728,Y,N,N
860740745RR0001,2021-03-31,25,,N,N,,N,Y,N
130620743RR0001,2021-03-31,25,112625,N,N,,N,N,N
105198873RR0001,2021-03-31,25,1071687,N,N,,Y,Y,N
866097421RR0001,2021-03-31,25,18829,Y,N,,N,N,N
129336723RR0001,2021-04-30,25,,Y,N,,N,N,N
119086569RR0001,2021-06-30,25,250167,Y,N,,N,N,N
107678195RR0001,2021-03-31,25,144468,N,N,,Y,N,N
118777804RR0001,2021-03-31,25,165217,Y,N,,Y,N,N
808644405RR0001,2021-03-31,25,14858,Y,N,,Y,Y,N
108223371RR0001,2021-08-20,25,2417175,Y,N,,Y,Y,N
119214955RR0001,2021-03-31,25,822391,N,N,,Y,Y,N
118937283RR0001,2021-03-31,25,3893681,N,N,,Y,N,N
839689502RR0001,2021-03-31,25,22103,Y,N,,N,N,N
873029102RR0001,2021-03-31,25,488897,Y,N,,Y,Y,N
119091114RR0001,2021-03-31,25,2000,Y,N,,N,N,N
841816002RR0001,2021-02-28,25,79683,Y,N,,N,Y,N
892176116RR0001,2021-03-31,25,0,N,N,,N,N,Y
130153463RR0001,2021-03-31,25,342598,Y,N,,N,Y,N
815551866RR0001,2021-03-31,25,72948,,N,,N,Y,N
119260669RR0001,2021-03-31,25,20875000,Y,N,,Y,N,N
898046107RR0001,2021-03-31,25,212458,N,N,,Y,Y,N
127202349RR0001,2021-03-31,25,15992550,N,N,,Y,N,N
802543041RR0001,2021-06-30,25,39848,N,N,,N,Y,N
757533898RR0001,2021-02-28,25,22200,Y,N,,Y,Y,N
862601077RR0001,2021-03-31,25,48125,N,N,,N,N,N
865129175RR0001,2021-06-30,25,1695,N,N,,N,Y,N
875843518RR0001,2021-04-30,25,81804,N,N,,Y,Y,Y
119254654RR0001,2021-03-31,25,100000,Y,N,,N,Y,N
891275943RR0001,2021-03-31,25,34974,Y,N,,N,N,N
107509507RR0001,2021-03-31,25,229790,Y,N,,N,N,N
888813573RR0001,2021-03-31,25,18838,Y,N,,N,Y,Y
861131670RR0001,2021-03-31,25,23729,N,N,,Y,N,N
119304848RR0001,2021-03-31,23,21679910,N,Y,16525651,Y,Y,N
765619325RR0001,2021-05-31,25,40500,N,N,,N,Y,N
787264126RR0001,2021-03-31,25,,Y,N,,N,N,N
