BN,FPE,Form ID,100,110,120,130
119256477RR0001,2021-03-20,25,,,,
866827355RR0001,2021-03-31,25,,,,
847502325RR0001,2021-03-31,25,,,,
832729040RR0001,2021-03-31,25,,,,
862993854RR0001,2021-02-28,25,,,,
891722977RR0001,2021-03-31,25,,,,
118976984RR0001,2021-03-31,25,,,,
129916342RR0001,2021-03-31,25,,,,
100300219RR0001,2021-03-31,25,,,,
746233915RR0001,2021-03-05,25,,,,
118827112RR0001,2021-03-31,25,,,,
131054496RR0001,2021-03-31,25,,,,
890107824RR0001,2021-01-31,25,,,,
890924475RR0001,2021-03-31,24,,,,
141824243RR0001,2021-01-31,25,,,,
872094826RR0001,2021-03-31,25,,,,
118831106RR0001,2021-03-31,25,,,,
889541777RR0001,2021-04-30,25,,,,
130639800RR0001,2021-03-31,25,,,,
886091990RR0001,2021-03-31,25,,,,
893019927RR0001,2021-03-31,24,,,,
878039502RR0001,2021-03-31,25,,,,
887411593RR0001,2021-02-28,25,,,,
851604041RR0001,2021-03-31,25,,,,
129963617RR0001,2021-03-31,25,,,,
890972177RR0001,2021-03-31,25,,,,
895830180RR0001,2021-03-31,25,,,,
118953306RR0001,2021-04-30,25,,,,
119255602RR0001,2021-03-20,24,N,N,N,N
886730993RR0001,2021-03-31,25,,,,
863309654RR0001,2021-03-31,25,,,,
812960045RR0001,2021-03-31,25,,,,
892659368RR0001,2021-03-31,25,,,,
891167827RR0001,2021-03-31,23,,,,
863251013RR0001,2021-03-31,25,,,,
817656754RR0001,2021-01-31,25,N,N,N,N
889630778RR0001,2021-03-31,23,,,,
737551333RR0001,2021-03-31,25,N,N,,
890119654RR0001,2021-03-31,25,,,,
106896020RR0001,2021-03-31,25,,,,
859666653RR0001,2021-03-31,25,,,,
133711903RR0001,2021-01-31,25,,,,
126598580RR0001,2021-03-31,25,,,,
131513178RR0001,2021-03-31,25,,,,
124415613RR0001,2021-03-31,25,,,,
824007744RR0001,2021-03-31,25,,,,
106961329RR0001,2021-03-31,25,,,,
136312964RR0001,2021-03-31,25,,,,
890680762RR0001,2021-03-31,25,,,,
118932284RR0001,2021-03-31,25,,,,
701554891RR0001,2021-03-31,24,,,,
864063235RR0001,2021-03-31,25,,,,
124792474RR0001,2021-03-31,25,,,,
890308497RR0001,2021-03-31,25,,,,
118849595RR0001,2021-04-30,25,,,,
106808454RR0001,2021-02-28,25,,,,
108103961RR0001,2021-04-30,25,,,,
119228062RR0001,2021-03-31,25,,,,
891165979RR0001,2021-04-30,25,,,,
107462699RR0001,2021-03-31,25,,,,
865170435RR0001,2021-04-30,25,,,,
815251798RR0001,2021-04-30,25,,,,
701547515RR0001,2021-03-31,25,,,,
119140473RR0001,2021-03-31,25,,,,
831483821RR0001,2021-01-31,25,,,,
884709551RR0001,2021-03-31,25,,,,
890975774RR0001,2021-02-28,25,N,N,N,N
891493389RR0001,2021-01-31,25,,,,
803182773RR0001,2021-04-30,25,,,,
107469512RR0001,2021-04-30,25,,,,
850333196RR0001,2021-01-31,25,N,N,,
854728300RR0001,2021-03-31,23,N,N,,
105195150RR0001,2021-03-31,24,,,,
135897700RR0001,2021-03-31,25,N,N,N,N
890413974RR0001,2021-03-31,25,,,,
888929486RR0001,2021-03-31,24,,,,
140801580RR0001,2021-03-31,25,,,,
106793292RR0001,2021-03-31,25,,,,
119097046RR0001,2021-03-31,25,,,,
119131936RR0001,2021-03-31,25,,,,
137467726RR0001,2021-03-31,25,,,,
878986520RR0001,2021-03-31,25,,,,
119158103RR0001,2021-03-31,25,,,,
878182567RR0001,2021-03-31,25,,,,
825965031RR0001,2021-02-28,25,,,,
894820505RR0001,2021-03-31,25,,,,
130709298RR0001,2021-03-31,25,,,,
103386694RR0001,2021-03-31,25,,,,
